,UPC
0,0659641251342
1,0080757921704
2,0080757721915
3,0060984818008
4,0807576689956
5,0845584042240
6,0022099746645
7,0735781014297
8,0769557810707
9,0022099746584
10,0735781014303
11,0735781021196
12,0632059231038
13,0659641365841
14,0659641329294
15,0065964142508
16,0659641452329
17,0618711501176
18,0765857746135
19,0735781013344
20,0080757724015
21,0632059247954
22,0735781011333
23,0000194230160
24,0703861241000
25,0735781015898
26,0735781012705
27,0703861001345
28,0022099745976
29,0022099745969
30,0022099746027
31,0735781015560
32,0889262781052
33,0889262781113
34,0889262780154
35,0889262780215
36,0889262780277
37,0889262780338
38,0715757549596
39,0715757549565
40,0715757579449
41,0679370348465
42,0609408964909
43,0609408964916
44,0609408964923
45,0679370426170
46,0679370426187
47,0634741815083
48,0634741815045
49,0821301173985
50,0821301173992
51,0821301218099
52,0821301218105
53,0821301218112
54,0889645656366
55,0716736249117
56,3607682184577
57,3607682184591
58,3607682184614
59,0729998994565
60,0729998369387
61,0679370148478
62,0679370148485
63,0064793701698
64,0679370169619
65,0679370169602
66,0679370169589
67,0679370169626
68,0679370321819
69,0679070327833
70,0679370321857
71,0679370321840
72,0679370321864
73,0886745822790
74,0886745822264
75,0886745822103
76,0886745769262
77,0886745694144
78,0886745776550
79,0886745778004
80,0716736185682
81,0889262838190
82,0889262838237
83,0889262838251
84,0889262837933
85,0192826081865
86,0192826082305
87,0192826082930
88,0192826083234
89,0192826084316
90,0772204431217
91,0772204431439
92,0772204431804
93,0772204431965
94,0772204432122
95,0772204432276
96,0772204432375
97,0772259474467
98,0772259474627
99,0772259474788
100,0772259474948
101,0772259475105
102,0772259475426
103,0772259475266
104,0648478791251
105,0648478791268
106,7332540876160
107,7332540876177
108,7332540876184
109,7332540876191
110,0192500452172
111,0886895307437
112,0886895307437
113,0886895307420
114,0886895307420
115,0715757405625
116,0888392405937
117,0828570626778
118,0828570626785
119,0828570626792
120,0889262812473
121,0889262812510
122,0889262811957
123,0889262811995
124,0889262812039
125,0889262812114
126,0716736143095
127,0842852196322
128,0842852196315
129,0886745769675
130,0886895311267
131,0842852152342
132,0793597780379
133,3607682187981
134,3607682188001
135,0886608821083
136,0886608821106
137,0886608821137
138,0715757504571
139,0193128091439
140,0193128091446
141,0193128091453
142,0193128091477
143,0661787865536
144,0888392337207
145,0805538662092
146,0192825082320
147,0888259813462
148,0659641977044
149,0736211767011
150,0817866019233
151,0817866019257
152,0661787868070
153,0661787868087
154,0661787868100
155,0661787868094
156,0661787868117
157,0817866015723
158,0817866011145
159,0661787868155
160,0661787868162
161,0817866019301
162,0661787865475
163,0661787868179
164,0661787868193
165,0661787868216
166,0661787868230
167,3607682992417
168,3607682992424
169,3607682992431
170,3607682992400
171,3607682992448
172,3607682992370
173,3607682992356
174,3607682992363
175,3607682992349
176,3607682992387
177,3607682992295
178,3607682992301
179,3607682992318
180,3607682992325
181,0822369405452
182,0822369405469
183,0822369405476
184,0822369405483
185,0886745826781
186,0886745825654
187,0886745826651
188,0886745826712
189,0886745826866
190,0821301143391
191,0821301143407
192,0821301143414
193,0821301143421
194,0610934187915
195,0661787866151
196,0661787866144
197,0661787869190
198,0661787869206
199,0191972310461
200,0821301217948
201,0821301217955
202,0821301217962
203,0886608642121
204,0886608642152
205,0888341468884
206,0888259814568
207,0727602429243
208,0727602259376
209,3607682879374
210,3607682879398
211,3607682879411
212,0700285455044
213,0608473994156
214,0688296345694
215,0688296345717
216,0688296345649
217,0688296345663
218,0688296345748
219,0688296345755
220,0642249155211
221,0642249155204
222,0642249155228
223,0610934247817
224,0810497025901
225,7325540917650
226,7325540986786
227,0076484172106
228,0193573088237
229,0193573088244
230,0193573088251
231,0610934184082
232,7640183585296
233,7640183585302
234,7640183585319
235,0828570746704
236,0828570746711
237,0828570746728
238,0609408947896
239,0888376860721
240,0888376860738
241,0888376860745
242,0888376860752
243,0888376860769
244,0099451231118
245,0887445129660
246,0076484175077
247,0886608976547
248,0886608976554
249,0886608976561
250,0806806408701
251,0192820057675
252,0715757430061
253,0610934317572
254,0610934317589
255,0190450261905
256,9120028584816
257,0768686143915
258,0886895366304
259,0192828496490
260,0819835017080
261,0819835017097
262,0819835016991
263,0819835017004
264,0193172126552
265,0191931451686
266,0191931451785
267,0191931451853
268,0191931451925
269,0191931452058
270,0191931451846
271,0887445148401
272,0192499032591
273,0192499032607
274,0191972309052
275,0886895398435
276,0889169264948
277,0889169264955
278,0889169264962
279,0193172039043
280,0821299027512
281,0886608846857
282,0886608883777
283,0886608883784
284,7640178034860
285,0886745773665
286,0888392374707
287,0887445151425
288,0887445179214
289,0661787869145
290,0661787866465
291,0661787866472
292,0661787869176
293,0610934316315
294,0610934315493
295,0843557128243
296,0843557128250
297,0843557128267
298,0614996141779
299,0614996141861
300,0768686228636
301,0716736149424
302,0748610335142
303,0716736104652
304,0887445162162
305,0887445162179
306,0887445162452
307,0887445162469
308,0886608956198
309,0886608956211
310,0886608956235
311,0886608956242
312,0715757413798
313,0886895306003
314,0716736185774
315,0193128291280
316,0054065661492
317,0845493089084
318,0748610380913
319,0748610380920
320,0748610380937
321,0748610380944
322,0748610380951
323,0887445183013
324,0842357106710
325,0842357106635
326,0076484179877
327,0191839110982
328,0191839111026
329,0821299027468
330,0842852199415
331,0842852199392
332,0842852199422
333,0842852199408
334,0748610379931
335,0886608904793
336,0886608904809
337,0886608904816
338,0887445100218
339,0840056905764
340,0840056905771
341,3607682459651
342,3607682459675
343,0191972280726
344,0191972280733
345,0191972280740
346,9321567151204
347,9321567151266
348,9321567410684
349,9321567410714
350,0190450576771
351,0190450576764
352,0190450263770
353,0842852197541
354,0842852171183
355,0842852197534
356,0842852189119
357,9329295452532
358,0888259854878
359,0846490021121
360,0846490054235
361,0888259854915
362,0888259854892
363,0846490021084
364,0888259095516
365,0637439100225
366,0889623871408
367,0889623871415
368,0889623871422
369,0888392410078
370,0889645414249
371,0889645414263
372,0889645414270
373,0889645414287
374,0842852150331
375,0842852150294
376,0842852150300
377,0842852168084
378,0715757487669
379,0715757487676
380,0715757487683
381,0715757575335
382,0716736156378
383,0886895394673
384,0768686139727
385,0768686220975
386,0768686220890
387,0768686220920
388,0768686220937
389,0768686220944
390,0768686220951
391,0768686220869
392,0768686220876
393,0768686220906
394,0768686220913
395,0192825011115
396,0192825011382
397,0716736249773
398,0190450678741
399,0828570747954
400,0828570747961
401,0828570747978
402,0764824012198
403,0192410066995
404,0192410066926
405,0192410066933
406,0192410066940
407,0192410067008
408,0192410067060
409,0192410067015
410,0192410067022
411,0192410067039
412,0886745814313
413,0886745812463
414,0886745811893
415,0768686050794
416,0768686050800
417,0768686050817
418,0768686219795
419,0768686219801
420,0768686219825
421,0768686219832
422,0768686050916
423,0768686050923
424,0768686050930
425,0889262779974
426,0889262780031
427,0889262779011
428,0889262779073
429,0889262779134
430,0889262779257
431,0889262779318
432,0700285953175
433,0889645673882
434,0889645673899
435,0191931822288
436,0828570021276
437,0628306192504
438,0628306192498
439,0190450696318
440,0190450696295
441,0190450696325
442,0054065686839
443,0888392406996
444,0750958297181
445,0886608648857
446,0886608648864
447,0716736143170
448,0892452001113
449,0892452001120
450,0648478791107
451,0194114228938
452,0715752787184
453,0191972276453
454,0715757482688
455,0003856000095
456,0003000008571
457,0842852198432
458,0764824018350
459,0648478791183
460,0730918417675
461,0888341683089
462,0008466141305
463,0711221983453
464,0888392405715
465,3607682957171
466,3607682957188
467,3607682957195
468,0886745768258
469,0886745768845
470,0886745768401
471,0054065658669
472,0816235026698
473,0816235021716
474,0768686946486
475,0768686946493
476,0768686946721
477,0768686946738
478,0768686946783
479,0768686946790
480,0785562656796
481,0610934289947
482,7640178035867
483,7640178035829
484,7640178035843
485,0793597780386
486,0793597780393
487,0821264702963
488,0716736143019
489,0192826000323
490,0192826000835
491,0192826001337
492,0192826000255
493,0192826000767
494,0192826001269
495,0191479847545
496,0887445147527
497,0889645806952
498,0889645806969
499,0889645806945
500,0889645806976
501,0885176084272
502,0716736170947
503,0715757576714
504,0764824014451
505,0716736157221
506,0716736157283
507,0716736157252
508,0193172105052
509,0193172105045
510,0886608838203
511,0886608838210
512,0886608838227
513,0888392377203
514,0716736185415
515,0828570074012
516,0828570074029
517,0828570074036
518,0828570493356
519,0828570493363
520,0053300800863
521,0053300800870
522,0053300800887
523,0053300800894
524,0828570404154
525,0828570404178
526,0821299027642
527,3607682220435
528,3607682220442
529,3607682220459
530,0659641735651
531,0887278677390
532,0887278677406
533,0887278677666
534,0828570493172
535,0828570493202
536,0828570493219
537,0191972304170
538,7640175136130
539,7640175136161
540,0889143823345
541,0764824019821
542,0659641986039
543,0889169314773
544,0048323591874
545,0191274589893
546,0191274589947
547,0610934182507
548,0715757413880
549,0842357150164
550,0608473994163
551,0828570497620
552,0828570497637
553,0828570497644
554,0785562170926
555,0085955138411
556,0840056901261
557,0840056901278
558,0190694078536
559,0190694078543
560,0888392350473
561,0847165068489
562,0821301184080
563,0821301184097
564,0750958297167
565,0750958297150
566,0750958297143
567,0750958297174
568,0193172129409
569,0842852196070
570,0886895306041
571,0886895306041
572,0194115232965
573,0194115233139
574,0194115233313
575,0886895255325
576,0716736063591
577,0193128094447
578,0190284526225
579,0888392444004
580,3607682447245
581,0768686228605
582,0716736108971
583,0768686221798
584,0889645912455
585,0889645912462
586,0889645912479
587,0889645918952
588,0054065674409
589,0748610381064
590,0857240002062
591,0886745815273
592,0886745814900
593,0886745815303
594,0648478791084
595,0610934246889
596,0054065675758
597,3607682178972
598,9120028580269
599,9120028584441
600,9120028580276
601,0610934318272
602,0889645668796
603,0889645668819
604,0748610358493
605,0768686140075
606,0768686222139
607,0768686222108
608,0768686222191
609,0190694078673
610,0190694078697
611,0878034000057
612,4028173939237
613,4028173059638
614,0191839079630
615,0191839079647
616,3607682173335
617,0716736142852
618,0716736063447
619,0191972321283
620,0886608453789
621,0886608418177
622,0886608418160
623,0614996140338
624,0614996140369
625,0190450221237
626,0190450221220
627,0190450221251
628,0190450684339
629,0190450684322
630,0190450684254
631,0190450684247
632,0428406670830
633,0716736104607
634,0764824018459
635,0648478785779
636,0008466141442
637,0609408985669
638,3607682865940
639,3607682865964
640,3607682865988
641,3607682866008
642,3607682866022
643,0764824018589
644,0888259780962
645,0888259813721
646,0888259813752
647,0090897013955
648,0090897029499
649,0090897029505
650,0610934291452
651,0610934291391
652,0610934291438
653,0889049412483
654,0886745812203
655,0886745813835
656,0886745813033
657,0888392405920
658,0715757576721
659,0715757576738
660,0716736158273
661,0716736158280
662,0715757577049
663,0715757577056
664,0610934094251
665,0610934094268
666,0610934249804
667,0610934316575
668,0610934316582
669,0716736141145
670,0661787869213
671,0661787869220
672,0661787869244
673,0661787869237
674,0659641985940
675,0889623162087
676,0889623162094
677,0841580108836
678,0841580108843
679,0841580108850
680,0841580108867
681,0841580108874
682,0841580108652
683,0841580108669
684,0886745596035
685,9004290162753
686,0602045040975
687,0602045040982
688,0821299027543
689,0846240097819
690,0846240097826
691,3607682876809
692,3607682876823
693,3607682876847
694,0813231023638
695,0813231023614
696,0076484174100
697,0076484179822
698,0076484179914
699,0886745832553
700,0886745832041
701,3607682431046
702,3607682431060
703,3607682431084
704,0700285787091
705,0821301083567
706,0716736148403
707,0748610379016
708,0889623223924
709,0889623394341
710,0715757545772
711,0190450220254
712,0659641989566
713,0748610346506
714,0731717887720
715,7325540914147
716,7325540913966
717,7325540913942
718,7325540917063
719,0828570490362
720,0828570490379
721,0828570490386
722,0888392374004
723,0716736182148
724,0193573095037
725,0193573095044
726,0193573095051
727,0192499036209
728,0192499036216
729,0192499036223
730,0022099746560
731,0886745779117
732,0886745779087
733,0886745779124
734,0886745779131
735,0821299027796
736,0603731853633
737,0603731853572
738,7332522438584
739,0190541466080
740,0190541466103
741,0190541466127
742,0190541466141
743,0190541466165
744,0190541466189
745,0842357130135
746,0190450413076
747,3607682186205
748,0190694124677
749,0190694124684
750,0190694124691
751,0190450343625
752,0610934289923
753,0768686220555
754,0768686139468
755,0768686220517
756,0768686139390
757,0768686139406
758,0768686220531
759,0679370524616
760,0679370524630
761,0888392280015
762,0888392326515
763,0886608325857
764,0764824011474
765,0764824016738
766,0679370324353
767,0679370324360
768,0679370324407
769,0886745824145
770,0886745824985
771,0886745823315
772,0886745824749
773,0886745821762
774,0886745822097
775,0886745823421
776,0886745824282
777,0886745849476
778,0886745825241
779,0886745820048
780,0679894051728
781,0679894051742
782,0679894051766
783,0610934229288
784,0616438709882
785,8050440099432
786,0634741811382
787,0192825082108
788,0889623971344
789,0889623971351
790,0889623971368
791,0889623971375
792,0886608766483
793,0645397932390
794,0889049177450
795,0764824019623
796,0888392405692
797,0843557100768
798,0843557100782
799,3607682865773
800,3607682865797
801,9329295091281
802,0840056900844
803,0840056900851
804,0648478774315
805,0193128074746
806,0193128074753
807,0193128074760
808,0193128074777
809,0193128074784
810,0193128074791
811,0817866019622
812,0661787868315
813,0661787868322
814,0661787865697
815,0661787868353
816,0661787868360
817,0716736249087
818,0716736143125
819,0054065659604
820,0716736185767
821,0610934187960
822,0661787866281
823,0610934223682
824,0080694906024
825,3661267004902
826,3661267004919
827,3661267004926
828,0715757482671
829,0716736157917
830,0716736157931
831,0716736157924
832,0716736157962
833,0716736157955
834,0716736157900
835,0716736157894
836,0716736063409
837,0800881503214
838,0842852196278
839,0022099745747
840,0821301171967
841,0821301171974
842,0821301171981
843,0821301171929
844,0821301171936
845,0821301171943
846,0193573097888
847,0610934261134
848,0610934261172
849,0610934261110
850,0806810983485
851,0793597780225
852,0768686060267
853,0768686059575
854,0716736147871
855,0886608574903
856,0886608574927
857,0886608575078
858,0886608575085
859,0190450413267
860,0191839092677
861,0805538679434
862,0843557100072
863,0843557100089
864,0192820057880
865,0661787869008
866,0748610383013
867,0192824327798
868,0192824328092
869,0192824328320
870,0192824328177
871,0192824328382
872,0192824328580
873,0634741713648
874,0716736205847
875,0193128096816
876,0193128096823
877,0193128096847
878,0193128096854
879,0193128096861
880,0886608902959
881,0886608902966
882,0886608902973
883,0191972284861
884,0889262811612
885,0889262811636
886,0889262811353
887,0889262811377
888,0889262811391
889,0889262811414
890,0889262811438
891,0889262811452
892,0889262811575
893,0889262811599
894,0886608631897
895,0886608631903
896,0886608631910
897,0888392374677
898,0190450667660
899,0889623177265
900,0076484172090
901,0764824019906
902,0764824019708
903,0192824101756
904,0192824101794
905,0192824101831
906,0192824101855
907,0192824101879
908,0192824101893
909,0768686228285
910,0764824016318
911,0085955149318
912,0085955149325
913,0085955149332
914,0085955149608
915,0085955149615
916,0085955149622
917,0085955149653
918,0085955149660
919,0610934084757
920,0610934084818
921,0610934084726
922,0610934084788
